,dividend_id,dividend_date,ticker,type,dividend,total,quantity,portfolio
0,b68d436347894dc38243420a7b61353c,2024-08-21,AAPL34,DIVIDENDOS,0.04,0.09,2,LEGEND
1,21486c6935864bd3af6524bfbc8392ad,2024-10-03,BOAC34,DIVIDENDOS,0.23,0.23,1,LEGEND
2,342e6cf2feb1421f9b8077e42b449158,2024-11-21,AXPB34,DIVIDENDOS,0.26,0.26,1,LEGEND
3,d9e4a15b8bfc4930a212e35513bf84f4,2024-11-22,AAPL34,DIVIDENDOS,0.04,0.09,2,LEGEND
4,742c35ccb6ff4845a9acb07d6f7bbcf0,2024-12-17,CHVX34,DIVIDENDOS,0.65,1.3,2,LEGEND
5,f6572d93f3bb433fbdd9d2be48457afd,2024-12-23,COCA34,DIVIDENDOS,0.32,0.64,2,LEGEND
6,ebe7d9f8bf9e43979986f9dae93f6a83,2025-01-06,BOAC34,DIVIDENDOS,0.27,0.54,2,LEGEND
7,360803c2490049da93e87c8de9dd642c,2025-01-08,KHCB34,DIVIDENDOS,0.41,1.22,3,LEGEND
8,b937464c9d7f400c9bdcf30d8f5986f4,2025-01-21,OXYP34,DIVIDENDOS,0.15,0.44,3,LEGEND
9,e0a291e6f69c47d3a57a13e43b2f7a08,2025-02-19,AAPL34,DIVIDENDOS,0.05,0.43,9,LEGEND
10,04c60c8dd97748fea41f36a0fdfee1a4,2025-02-19,AXPB34,DIVIDENDOS,0.26,0.26,1,LEGEND
11,ec3252864b5d465fb60059be3fdf5023,2025-03-17,CHVX34,DIVIDENDOS,0.66,1.31,2,LEGEND
12,ff50a30ec0584f4d8edea0f1af20453e,2025-04-03,BOAC34,DIVIDENDOS,0.25,0.75,3,LEGEND
13,83e88afcff9c4aa79b0c5f813df6b439,2025-04-08,KHCB34,DIVIDENDOS,0.38,1.14,3,LEGEND
14,a14ff3ea5024487fb5b5b527a6ab6372,2025-04-08,COCA34,DIVIDENDOS,0.32,0.64,2,LEGEND
15,8490c116456942b188828aa8ed8b4735,2025-04-23,OXYP34,DIVIDENDOS,0.16,0.47,3,LEGEND
16,cef05cc66a9e4ae0b603550a02f3e9a5,2025-07-21,OXYP34,DIVIDENDOS,0.15,0.45,3,LEGEND
17,30eb90c971f0479e98863d3eef222cfc,2025-10-21,OXYP34,DIVIDENDOS,0.15,0.44,3,LEGEND
18,50dccb001f474576ae3391c0628f167e,2024-09-05,ITLC34,DIVIDENDOS,0.07,0.07,1,VECTOR
19,3014ddec7d624f378ba7cdfd60996e22,2025-05-07,MOOO34,DIVIDENDOS,3.89,3.89,1,VECTOR
20,6eb3d276d160402c8d7f416586e2397b,2025-07-16,MOOO34,DIVIDENDOS,3.84,3.84,1,VECTOR
21,c15a938478d74cd2ba12b732bc960c4d,2025-07-15,LREN3,JUROS,0.17,0.34,2,VECTOR
22,9dfbe1f76f2441f688f2fbff8fcf26f1,2025-07-31,BBDC4,JUROS,0.25,1.75,7,VECTOR
23,910b0280d82243d3b679d98b7c83f109,2025-08-11,BBDC4,JUROS,0.02,0.03,2,VECTOR
24,ac2d060ea26b4d05920cc4af419b9519,2025-08-15,BPAC11,JUROS,0.51,0.51,1,VECTOR
25,3c3d886e20ae47c4b8c4d387fa11623b,2025-08-29,ITUB4,JUROS,0.31,0.31,1,VECTOR
26,7a58656c82bc4e8d9e4ca92c8e1e5ffa,2025-08-29,ITSA4,JUROS,0.16,0.47,3,VECTOR
27,592f5dd1dce84f34b3278c061172cc90,2025-09-01,ITUB4,JUROS,0.01,0.01,1,VECTOR
28,242bd5a71f7b4cb7aae78c5e02563322,2025-09-01,BBDC4,JUROS,0.02,0.03,2,VECTOR
29,be79f613ae754d03987c93a35c48c75f,2025-09-26,ENGI11,DIVIDENDOS,1.0,1.0,1,VECTOR
30,0392fd24e09147a5915f0bbf4990b753,2025-09-29,UNHH34,DIVIDENDOS,0.11,6.34,56,VECTOR
31,7652cae0019a4afcb4cfd09a0f00d685,2025-09-30,MBRF3,DIVIDENDOS,2.81,5.62,2,VECTOR
32,adc34541eec842239215ece5f6056144,2025-10-01,BBDC4,JUROS,0.02,0.03,2,VECTOR
33,c6108f396f8341868a6e52220b540c6d,2025-10-01,ITSA4,JUROS,0.02,0.06,3,VECTOR
34,b2200d4e7db54debb5d3a4c4955246e9,2025-10-01,ITUB4,DIVIDENDOS,0.01,0.01,1,VECTOR
35,67b0e95904f64e42bd4cc84765c20367,2025-10-02,RDOR3,JUROS,0.19,0.19,1,VECTOR
36,9bb106619fc44d6ca969d5b4478822e1,2025-10-06,TOTS3,JUROS,0.13,0.13,1,VECTOR
37,16c36fb4aeec42d184325a149e96e78f,2025-10-07,LREN3,JUROS,0.18,0.37,2,VECTOR
38,4d7f0dfaa5e1475a95377632b66990cc,2025-10-07,B3SA3,JUROS,0.07,0.2,3,VECTOR
39,419f6652659541e8854be54314c35cfe,2025-10-16,MOOO34,DIVIDENDOS,3.94,3.94,1,VECTOR
40,0742040c402e46a593cc0caf6dda6c46,2025-10-21,TIMS3,JUROS,0.11,0.57,5,VECTOR
41,fa1b9e8fda8c4428a23bd48880cc56f7,2025-10-31,BBDC4,JUROS,0.68,1.36,2,VECTOR
42,081a91c6d0884c698a9e6e7f4540281f,2025-11-03,ITUB4,JUROS,0.01,0.01,1,VECTOR
43,d54f1809fa5941ecb6db8fe9e5d654e6,2025-11-03,BBDC4,JUROS,0.02,0.03,2,VECTOR
44,3c816d26a0904a2db8074527b7f0f191,2025-12-01,ITUB4,JUROS,0.01,0.01,1,VECTOR
45,b96cb5d27661464b9af1aac52f01bf2d,2025-12-01,BBDC4,JUROS,0.02,0.03,2,VECTOR
46,01b622d6bb5b4530ab07aeeaad3c4db4,2025-12-17,CYRE3,DIVIDENDOS,2.72,5.45,2,VECTOR
47,13c0923e339f40f29b7cf59b453f35a9,2025-12-19,ENGI11,DIVIDENDOS,0.7,0.7,1,VECTOR
48,04699537a69440878b91584c235ace3f,2025-12-19,GOGL34,DIVIDENDOS,0.06,0.45,7,VECTOR
49,8ff9b886d7ab4014850e7ac34f10ca36,2025-12-19,ITSA4,DIVIDENDOS,0.77,2.32,3,VECTOR
50,be59fc32aa864007a18ef23faa345590,2025-12-19,ITUB4,DIVIDENDOS,1.86,1.86,1,VECTOR
51,6e6745c8618e48058d7075fe37998044,2025-12-22,UNHH34,DIVIDENDOS,0.12,6.58,56,VECTOR
52,80590fff94a646bb8d1c3484f2862db8,2025-12-22,EMBJ3,DIVIDENDOS,0.11,0.11,1,VECTOR
53,2decc4b3c645458d9080d04f8d12108d,2025-12-30,TOTS3,DIVIDENDOS,0.15,0.15,1,VECTOR
54,68ab077bbe104548aed888aa8657876d,2025-12-30,RDOR3,DIVIDENDOS,0.16,0.16,1,VECTOR
55,6f90dd48fe1b43d9b2f18bb560485f8d,2025-12-30,RDOR3,DIVIDENDOS,2.54,2.54,1,VECTOR
56,6c539e90729a4671bd4553b39ccaa194,2025-12-30,TIMS3,DIVIDENDOS,0.75,3.74,5,VECTOR
57,105b09fb292a44bc9dcc9c4f28c725c7,2024-08-15,KLBN3,DIVIDENDOS,0.07,0.4,6,RENDA
58,009e36c930074f1e9a83e9fd4e8a0aa6,2024-08-30,BBAS3,DIVIDENDOS,0.27,0.27,1,RENDA
59,5f4816ff9a1747f09e27974c4097efce,2024-08-30,BBAS3,DIVIDENDOS,0.15,0.15,1,RENDA
60,bd4458d316b5404ba4e11447940b0389,2024-08-30,BBSE3,DIVIDENDOS,1.39,1.39,1,RENDA
61,b2fe9520377b4a5b82a795b574337807,2024-09-04,VALE3,DIVIDENDOS,1.78,5.34,3,RENDA
62,58a8a79e2b694a00a46a48aa79e2eee6,2024-09-27,BBAS3,JUROS,0.16,0.16,1,RENDA
63,d2f92adc80884a768702d3ac8a0e7140,2024-09-30,CSMG3,JUROS,0.51,1.52,3,RENDA
64,9481d055519f43d487ade839a85b4976,2024-10-01,BBDC4,JUROS,0.02,0.12,7,RENDA
65,c42e451a6d004dc99813e31dcb391524,2024-11-01,BBDC4,JUROS,0.02,0.12,7,RENDA
66,9e988bb78b804250832e47dbf2f1665f,2024-11-21,BRAP4,JUROS,0.76,4.59,6,RENDA
67,8608342cd7b643c586fa7fbe8e1b2abd,2024-11-21,KLBN3,JUROS,0.06,1.66,28,RENDA
68,470ca24c773443acb18923e31a997849,2024-11-21,PETR4,JUROS,0.35,1.05,3,RENDA
69,cb8bce2e7b7f43769a2f15accf861481,2024-11-21,PETR4,DIVIDENDOS,0.11,0.34,3,RENDA
70,c4a7bbed87cd4df3a26e0cb4031d0d40,2024-11-27,TAEE4,JUROS,0.1,0.87,9,RENDA
71,35399c5e60294942b4c7aaf0bcf8db01,2024-11-27,TAEE4,DIVIDENDOS,0.1,0.91,9,RENDA
72,cd14c0faea7b4bb991fd311a329e3845,2024-11-29,UNIP6,DIVIDENDOS,0.57,0.57,1,RENDA
73,bafd1c21559d46c29d3c01c8dc77b910,2024-11-29,UNIP6,DIVIDENDOS,2.16,2.16,1,RENDA
74,5f2d07839ce2469596167e61b62ee28c,2024-12-02,BBDC4,JUROS,0.02,0.12,7,RENDA
75,e5e5307468944d65b361ba4128a29f5c,2024-12-06,BBAS3,JUROS,0.41,1.65,4,RENDA
76,f6ff4c78e8064224bcaa72140b2ddf2f,2024-12-20,PETR4,DIVIDENDOS,0.52,1.57,3,RENDA
77,cc97405c70c0490ea45e2ae6cba606b9,2024-12-23,PETR4,DIVIDENDOS,1.55,4.65,3,RENDA
78,6257617fe26b40c390670ec44e304e85,2024-12-27,BBAS3,JUROS,0.15,0.6,4,RENDA
79,c1217f831a164212b9ec07903429a628,2024-12-30,CMIN3,JUROS,0.07,3.93,54,RENDA
80,cdb14b96b2d2464c95923287056e6fe3,2024-12-30,CMIN3,DIVIDENDOS,0.44,23.6,54,RENDA
81,1c2e4a30584546c08f75eb1662ffc8f5,2024-12-30,CMIN3,DIVIDENDOS,0.03,1.59,54,RENDA
82,1e1a00d5c7d3469ebbeb660f7bd7628c,2025-01-02,BBDC4,JUROS,0.02,0.12,7,RENDA
83,a9f2d1b8d5e443689fcdcaed58bde5de,2025-01-29,TAEE4,JUROS,0.11,1.02,9,RENDA
84,331d191376eb4c7690360f9b7cf69e74,2025-01-29,TAEE4,DIVIDENDOS,0.09,0.8,9,RENDA
85,773669474dce41e4a591c070bbdc9ca9,2025-02-03,BBDC4,JUROS,0.02,0.12,7,RENDA
86,3d74b64b11d44074b86347d50252e634,2025-02-20,PETR4,JUROS,0.57,1.7,3,RENDA
87,6f99ac543ff74178881d2ae1ad65779b,2025-03-05,BBDC4,JUROS,0.02,0.12,7,RENDA
88,6ea2b443d3bc4677a82492ac4921b1a8,2025-03-06,BBSE3,DIVIDENDOS,2.27,6.81,3,RENDA
89,f02912b90a694bcfa267c3ea342bc34a,2025-03-06,BBSE3,JUROS,0.04,0.11,3,RENDA
90,f8a089c10eb845aa8ad1db585033b5e2,2025-03-12,KLBN3,JUROS,0.04,1.19,33,RENDA
91,52bb33a712f74cb2a3139be9036232dc,2025-03-14,KLBN3,DIVIDENDOS,0.01,0.29,33,RENDA
92,912641c89ab9476c9a19f01bfdcf24dd,2025-03-14,VALE3,DIVIDENDOS,2.14,6.42,3,RENDA
93,2880eaaa62944c56979d9faf38f179f1,2025-03-14,VALE3,JUROS,0.44,1.33,3,RENDA
94,399f3d94227643c9ad6981f28ddfbd09,2025-03-20,PETR4,DIVIDENDOS,0.65,1.96,3,RENDA
95,5fe0707dea0742d0b5455e05d9286be4,2025-03-20,PETR4,DIVIDENDOS,0.01,0.04,3,RENDA
96,8e37d594282d44efbb8f732688682c30,2025-03-20,PETR4,JUROS,0.01,0.03,3,RENDA
97,c9e4a3b0ef1a45468420487ea6a239f1,2025-03-20,BBAS3,DIVIDENDOS,0.14,0.54,4,RENDA
98,00ad4eddac264b6fa95f1aac3bc50df2,2025-03-20,BBAS3,DIVIDENDOS,0.0,0.01,4,RENDA
99,f0b450f695444f10866c74a8e972037e,2025-03-20,BBAS3,DIVIDENDOS,0.01,0.03,4,RENDA
100,c68de98f7eb84cd7a9ee84b610a491e0,2025-03-20,BBAS3,JUROS,0.29,1.17,4,RENDA
101,eec24ee86fb4432d982d25007cf7fe89,2025-03-21,BBAS3,JUROS,0.13,0.51,4,RENDA
102,6a53e5a763b142a9884feae506e53986,2025-04-01,BBDC4,JUROS,0.02,0.12,7,RENDA
103,c8acd01d616443e98b10b68ce7d48b8e,2025-04-02,UNIP6,DIVIDENDOS,2.3,6.89,3,RENDA
104,1d748df704484fde924f3d4bf9162088,2025-04-25,CSMG3,JUROS,0.25,1.27,5,RENDA
